no,musisi,judul_lagu,lirik_lagu,label_emosi
1,Hindia,Evaluasi,"Bilas muka gosok gigi evaluasi
Tidur sejenak menemui esok pagi
Walau pedih ku bersamamu kali ini
Ku masih ingin melihatmu esok hari","Sedih, Cinta"
2,Hindia,Evaluasi,"Yang tak bisa terobati 
Biarlah Mengering sendiri 
Menghias tubuh dan",Sedih
3,Hindia,Evaluasi,"Yang mengevaluasi ragamu
Hanya kau sendiri
Mereka tak mampu",Sedih
4,Hindia,Evaluasi,"Melewati yang telah kau lewati 
Tiap berganti hari
Rintangan yang kau hadapi",Sedih
5,Hindia,Evaluasi,"Masalah yang mengeruh
Oh perasaan yang rapuh
Ini belum separuhnya 
Biasa saja kamu tak apa","Sedih, Takut"
6,Hindia,Evaluasi,"Yang selalu ingin ambil peran
Hanya berlomba menjadi lebih
Sedih dari dirimu muak dikesampingkan
Disamakan hatimu terluka sempurna","Sedih, Marah"
7,Hindia,Evaluasi,"Perjalanan yang jauh
Kau bangun untuk bertaruh
Hari belum selesai
Biasa saja kamu tak apa",Sedih
8,Hindia,everything u are,"Wajahmu ku ingat selalu lupakan
Hal-hal yang menggangguku
Karena hari ini mata kita beradu
Kita saling bantu melepas perasaan","Cinta, Sedih"
9,Hindia,everything u are,"Tinggi ke angkasa menantang dunia
Merayakan muda tuk satu jam saja
Kita hampir mati dan kau selamatkan aku
Dan ku menyelamatkanmu dan sekarang aku tahu","Senang, Cinta"
10,Hindia,everything u are,"Cerita kita tak jauh berbeda
Got beat down by the world sometimes I wanna fold
Namun suratmu kan ku ceritakan ke anak-anakku nanti
Bahwa aku pernah dicintai with everything u are
Fully as I am with everything u are","Cinta, Senang"
11,Hindia,everything u are,"Wajahmu yang beragam rupa pastikan
Ku tak sendirian
Jalani derita kau bawakan kisahmu
Aku mendengarkan oh kita bergantian","Cinta, Sedih"
12,Hindia,everything u are,"Bertukar nestapa menawar trauma
Datang seadanya terasku terbuka
Kita hampir mati dan kau sеlamatkan aku
Dan ku menyelamatkanmu dan sekarang aku tahu","Sedih, Cinta"
13,Hindia,everything u are,"Seada-adanya sekurang-kurangnya
Walau sulit utarakan hatiku dengan indah
Walau jarang ku bernyanyi dengan cara yang indah
Tapi tak sekali pun kisahku pernah kau bantah hu",Cinta
14,Hindia,Cincin,"Kau bermasalah jiwa aku pun rada gila
Jodoh akal-akalan neraka kita bersama
Kau langganan menangis lakimu muntah-muntah
Begitu terus sampai Iblis tobat dan sedekah","Cinta, Marah, Sedih"
15,Hindia,Cincin,"Terkadang rasanya leher terbakar hingga pagi
Seperti aku hidup berpasangan dengan api
Berhenti ulangi psikolog dan terapi
Aku isi bensin kita coba lagi","Sedih, Marah, Cinta"
16,Hindia,Cincin,"Tapi sbelumnya sejuta sayang untukmu cinta
Karna aku pun bola panas juga kadang lebih atau sama parahnya
Dan jika bicara tentang masa depan aku pun bingung tak punya tebakan
Lagu cinta untuk akhir dunia lihat kami nyanyikan ini bersama","Cinta, Sedih"
17,Hindia,Cincin,"Smoga hidup kita trus begini-gini saja
Walau sungai meluap dan kurs tak masuk logika
Smoga kita mencintai apa adanya
Walau katanya skarang ku bisa masuk penjara","Cinta, Sedih"
18,Hindia,Cincin,"Satu per satu hari per hari
Yang menyakiti benahi lagi
Perihal esok tuk nanti dulu
Perihal cincin kucari waktu","Sedih, Cinta"
19,Hindia,Cincin,"Persetan kata siapa mau bilang apa tak guna
Mreka hanya tahu namamu mreka takkan jadi diriku
Persetan aturan cinta tak tertulis di atas batu
Apa kau ingin menjadi benar atau ingin menjadi muda
Lagu cinta untuk akhir dunia
Sekarang bantu aku nyanyikan ini bersama","Marah, Cinta"
20,Hindia,Rumah Ke Rumah,"Menyesal tak kusampaikan
Cinta monyetku ke Kanya dan Rebecca
Apa kabar kalian di sana
Semoga hidup baik-baik saja
Tak belajar terkena getahnya
Saat bersama Thanya dan Saphira
Kupercaya mungkin bukan jalannya
Namun kalian banyak salah juga
Jika dahulu ku tak cepat berubah
Ini maafku untukmu Sharfina
Segala doa yang baik adanya
Untukmu dan mimpimu yang mulia","Sedih, Cinta"
21,Hindia,Rumah Ke Rumah,"Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah
Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah","Sedih, Cinta"
